t,vx,vy
0.1,0.008748213651084047,0.17994375292962647
0.1,0.008748213651084047,0.17994375292962647
0.2,0.01748571183438319,0.1797750468710939
0.2,0.01748571183438319,0.1797750468710939
0.30000000000000004,0.026201792207220624,0.17949398726019733
0.30000000000000004,0.026201792207220624,0.17949398726019733
0.4,0.034885778661059116,0.17910074975004464
0.4,0.034885778661059116,0.17910074975004464
0.5,0.04352703439839899,0.1785955801012792
0.5,0.04352703439839899,0.1785955801012792
0.6000000000000001,0.052114974961524896,0.1779787940284876
0.6000000000000001,0.052114974961524896,0.1779787940284876
0.7000000000000001,0.060639081197143015,0.17725077700288802
0.7000000000000001,0.060639081197143015,0.17725077700288802
0.8,0.06908891214102843,0.1764119840114235
0.8,0.06908891214102843,0.1764119840114235
0.9,0.07745411780690072,0.1754629392724098
0.9,0.07745411780690072,0.1754629392724098
1.0,0.08572445186386284,0.17440423590791604
1.0,0.08572445186386284,0.17440423590791604
1.1,0.09388978418687531,0.17323653557308283
1.1,0.09388978418687531,0.17323653557308283
1.2,0.10194011326489255,0.17196056804260906
1.2,0.10194011326489255,0.17196056804260906
1.3,0.1098655784514633,0.17057713075466682
1.3,0.1098655784514633,0.17057713075466682
1.4,0.1176564720427895,0.1690870883125282
1.4,0.1176564720427895,0.1690870883125282
1.5,0.12530325116844945,0.16749137194421657
1.5,0.12530325116844945,0.16749137194421657
1.6,0.13279654948022085,0.1657909789205193
1.6,0.13279654948022085,0.1657909789205193
1.7000000000000002,0.14012718862468604,0.16398697193172607
1.7000000000000002,0.14012718862468604,0.16398697193172607
1.8,0.14728618948556738,0.16208047842348183
1.8,0.14728618948556738,0.16208047842348183
1.9,0.15426478318202166,0.16007268989217027
1.9,0.15426478318202166,0.16007268989217027
2.0,0.16105442180942275,0.1579648611402671
2.0,0.16105442180942275,0.1579648611402671
2.1,0.16764678890947593,0.1557583094921294
2.1,0.16764678890947593,0.1557583094921294
2.2,0.17403380965683918,0.15345441397071102
2.2,0.17403380965683918,0.15345441397071102
2.3,0.18020766074977462,0.15105461443571774
2.3,0.18020766074977462,0.15105461443571774
2.4,0.18616077999271485,0.14856041068374207
2.4,0.18616077999271485,0.14856041068374207
2.5,0.19188587555900677,0.14597336151093923
2.5,0.19188587555900677,0.14597336151093923
2.6,0.1973759349224876,0.14329508373883004
2.6,0.1973759349224876,0.14329508373883004
2.7,0.2026242334469524,0.1405272512038404
2.7,0.2026242334469524,0.1405272512038404
2.8,0.20762434262299262,0.1376715937112079
2.8,0.20762434262299262,0.1376715937112079
2.9,0.2123701379421161,0.1347298959539097
2.9,0.2123701379421161,0.1347298959539097
3.0,0.21685580639850421,0.13170399639728775
3.0,0.21685580639850421,0.13170399639728775
3.1,0.22107585360921728,0.12859578613006764
3.1,0.22107585360921728,0.12859578613006764
3.2,0.22502511054412624,0.12540720768248975
3.2,0.22502511054412624,0.12540720768248975
3.3,0.22869873985732853,0.12214025381229117
