t,x,y,yaw,u,w
0.405,0.0,0.0,0.0,0.0,0.0
0.455,0.001395426655036763,2.4992222428882726e-06,0.00716402997085169,0.03488577670394729,0.17910074975004464
0.505,0.0031396215596817202,1.9993457592562024e-05,0.016119067434416295,0.034885721903933686,0.17910074975004464
0.555,0.0052803079788631,6.0283251706457196e-05,0.025041241738229986,0.044805370129147974,0.17827917074971308
0.605,0.0075196970761460605,0.00012276431870319635,0.03395520025210596,0.044805298728063166,0.17827917074971308
0.655,0.010228123813889066,0.00022199868744307718,0.04280271624109223,0.056554981644427765,0.17661810761439392
0.7050000000000001,0.013052919820689561,0.00035097971566373803,0.05163362159885597,0.056554893706905925,0.17661810761439392
0.755,0.016001448224681202,0.0005107775631103234,0.06042323475093737,0.059682894504369144,0.1755858024643304
0.805,0.018979618754959928,0.0006993464364273647,0.0692025248515982,0.059682799817936144,0.1755858024643304
0.8550000000000001,0.02275130816438543,0.0009708170850705725,0.07783510321367217,0.07961572835244991,0.17191800897197748
0.905,0.02671916271724564,0.0012912637476898065,0.08643100364109946,0.07961560991990782,0.17191800897197748
0.9550000000000001,0.03113232275523564,0.0016847101857567239,0.0949065493039076,0.0908630020713807,0.16890913983465228
1.005,0.03565383319756714,0.0021274577109645872,0.10335200627556092,0.09086287590569393,0.16890913983465228
1.055,0.04060923282480708,0.0026535954077329138,0.11166092845010812,0.1018659366763808,0.16549576988314169
1.105,0.04566927456447997,0.0032345354984168744,0.11993571692537881,0.10186579652799822,0.16549576988314169
1.155,0.09087026217595569,0.008638340599414243,0.11123604601301167,1.1126086693039487,-0.25886571663111413
1.205,0.1461815680192548,0.01458461068762556,0.09829276025373501,1.112604929597484,-0.25886571663111413
1.255,0.1620458248851091,0.016156606013826468,0.0884289686414323,0.12039887157470566,-0.18187836201255636
1.305,0.16804374658268106,0.01667079588941568,0.07933505056587317,0.12039867382661387,-0.18187836201255636
1.355,0.2132432399630536,0.019726765615059958,0.07156401477723397,1.1167283079499357,-0.16264548574793364
1.405,0.268014234042267,0.022914792210428095,0.06468827698402654,1.096309096039511,-0.13078070497231686
1.455,0.28319764876644915,0.023698061786004754,0.0614716101158088,0.12944553513061163,-0.1434120256858138
1.505,0.28872702570621134,0.02401970228878574,0.0584987158710185,0.10987901789800156,-0.047360799814798224
1.5550000000000002,0.33423195854578136,0.02606420744943203,0.054032563590082044,1.1353560253952155,-0.13692853035172703
1.605,0.38999079140431225,0.02843857280638664,0.04885340399567911,1.115204335405194,-0.09777232692883478
1.655,0.4058590211502743,0.02900166200259399,0.04634696511020231,0.14155649650321842,-0.13050083772219628
1.705,0.4119984642835354,0.029246599789474373,0.04388174846338993,0.12197532102435625,-0.034376756052737496
1.755,0.45814618807097124,0.030769914339009247,0.040518556922461875,1.1475743131499718,-0.12584306291085776
1.8050000000000002,0.5145496228500366,0.032555674548773735,0.036524192381702986,1.1276543991416224,-0.07396837919389762
1.855,0.5307528086000379,0.03295127581955389,0.034542775639545206,0.14665488030550286,-0.11983086725337139
1.905,0.5371503180441248,0.03312645569833699,0.03247019979079764,0.12706517475216905,-0.023664311012619545
1.955,0.5838536553547261,0.034248545176046405,0.02987864772204198,1.1597010456222587,-0.12053646938430587
2.005,0.6408834629961361,0.03556945275023058,0.02669095053772284,1.1399357133765609,-0.05576125548583091
2.055,0.6579749325461247,0.035854956609506904,0.024948058937502,0.1657016089962473,-0.1178653188026049
2.105,0.6653265440012286,0.035994527711822905,0.022951159686025638,0.14610673703751145,-0.021673096568354443
2.155,0.7127035224540443,0.03677802445284162,0.02090467050277117,1.1714800465564006,-0.11792050086819991
2.205,0.7703346437172865,0.03769399387061679,0.01829295180411561,1.1518126914458773,-0.04051691426338816
