t,linear_x,angular_z
0.1,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.2,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.4,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.6000000000000001,0.0,0.0
0.6000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.7000000000000001,0.0,0.0
0.8,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.1,1.0,-0.4206656520741
1.1,1.0,-0.42056135477763906
1.2000000000000002,0.0,-0.3415653109220221
1.2000000000000002,0.0,-0.3414601081946711
1.3,1.0,-0.32506108571914194
1.3,1.0,-0.32493143797349977
1.4000000000000001,0.0,-0.30380131461808996
1.4000000000000001,0.0,-0.3036535324281251
1.5,1.0,-0.2965664200336687
1.5,1.0,-0.29640580470333405
1.6,0.0,-0.28904767890839
1.6,0.0,-0.2888780135572712
1.7000000000000002,1.0,-0.28334246054338663
1.7000000000000002,1.0,-0.2831617958763615
1.8,0.0,-0.2781954456744025
1.8,0.0,-0.2780070464938198
1.9000000000000001,1.0,-0.27538416655497927
1.9000000000000001,1.0,-0.27518599498989116
2.0,0.0,-0.2711532906022709
2.0,0.0,-0.27094830253972624
2.1,1.0,-0.26966257513604885
2.1,1.0,-0.26944831232963906
2.2,0.0,-0.26675013772310086
2.2,0.0,-0.26652932996700907
2.3000000000000003,1.0,-0.2665133517153632
2.3000000000000003,1.0,-0.2665253705901597
2.4000000000000004,0.0,-0.2652353411348482
2.4000000000000004,0.0,-0.26544776422916927
2.5,1.0,-0.26714244601871134
2.5,1.0,-0.26735916313351604
2.6,0.0,-0.26621981099825553
2.6,0.0,-0.2664386307316157
2.7,1.0,-0.2687589750155055
2.7,1.0,-0.26898242431751757
2.8000000000000003,0.0,-0.2676573353835915
2.8000000000000003,0.0,-0.2678828630836987
2.9000000000000004,0.9092594583842546,-0.27063032770551476
2.9000000000000004,0.9126497208223728,-0.2708605542319175
3.0,0.0,-0.26848842013444524
3.0,0.0,-0.2687198852719989
3.1,0.741554658038149,-0.2704374479188079
3.1,0.7442287385488178,-0.2706723056579468
3.2,0.0,-0.26659010062180866
3.2,0.0,-0.2668244854886842
3.3000000000000003,0.6046631020858699,-0.26649114382067374
3.3000000000000003,0.6067549159861388,-0.26672644873562945
3.4000000000000004,0.0,-0.2612364808983701
3.4000000000000004,0.0,-0.2614696350485056
3.5,0.49029088134296417,-0.2589830256697597
3.5,0.49189881352882064,-0.25921471971051996
3.6,0.0,-0.2527260850229554
3.6,0.0,-0.2529539513030474
3.7,0.39879182846002625,-0.24947307794601864
3.7,0.40001472881074385,-0.24969737421400806
3.8000000000000003,0.0,-0.24159374638940925
3.8000000000000003,0.0,-0.24181280280358
3.9000000000000004,0.314882658847169,-0.2359857171730909
3.9000000000000004,0.3157554839371413,-0.23619904969654323
4.0,0.0,-0.22772875162470915
4.0,0.0,-0.22793518072165111
4.1000000000000005,0.2471908261482159,-0.22047413702169666
4.1000000000000005,0.2477834919385622,-0.22067299504793533
4.2,0.0,-0.21217822822147858
4.2,0.0,-0.21236891343157455
4.300000000000001,0.18998723116041588,-0.20274036882695343
4.300000000000001,0.1903453985757713,-0.2029220437325502
4.4,0.0,-0.1928016954468993
4.4,0.0,-0.1929737727314509
4.5,0.1417926362886863,-0.18275865815902245
4.5,0.14195561881732552,-0.18292019032210308
4.6000000000000005,0.0,-0.1716001145027241
4.6000000000000005,0.0,-0.17175103861644245
4.7,0.10047558825566244,-0.16011415340875054
4.7,0.10047345798496647,-0.16025343269383296
4.800000000000001,0.0,-0.14891653879144154
4.800000000000001,0.0,-0.14904448363179257
4.9,0.0660944187497198,-0.13537996242476177
4.9,0.06595719605610696,-0.13549575574727957
5.0,0.0,-0.12227931617541311
5.0,0.0,-0.12238303930659901
5.1000000000000005,0.0375474008770739,-0.10839206648623588
5.1000000000000005,0.03730026252416058,-0.10848306116844192
5.2,0.0,-0.0941736669333242
5.2,0.0,-0.09425232332819204
5.300000000000001,0.013843924751240771,-0.07942534456056217
5.300000000000001,0.013507718961976029,-0.07949086482024183
5.4,0.0,-0.06438233991092958
5.4,0.0,-0.06443529200357632
5.5,0.0,-0.04915271987971516
5.5,0.0,-0.04919281267103475
5.6000000000000005,0.0,-0.03350376462355384
5.6000000000000005,0.0,-0.03353090100459159
5.7,0.888108023950019,0.8468464500317409
5.7,0.8914376247473442,0.8472209728638621
5.800000000000001,0.0,0.6351181805063482
5.800000000000001,0.0,0.6354607061906139
5.9,0.940824524038583,0.5793195881644928
5.9,0.9443457738179546,0.5795932130234537
6.0,0.0,0.5158942096649107
6.0,0.0,0.5161138268592094
6.1000000000000005,0.9887748450855114,0.47082707146551783
6.1000000000000005,0.9924631831226911,0.4710011235541077
6.2,0.0,0.42717278944461445
6.2,0.0,0.42730687611237617
6.300000000000001,1.0,0.3945249800052356
6.300000000000001,1.0,0.39462407805571864
6.4,0.0,0.35878235011305964
6.4,0.0,0.3588487559458474
6.5,1.0,0.3309450592821801
6.5,1.0,0.33098141347517995
6.6000000000000005,0.0,0.3069387933885954
6.6000000000000005,0.0,0.30695088522755254
6.7,1.0,0.2869646824398988
