t,linear_x,angular_z
2.0,1.0,-0.17430948244502267
2.0,1.0,-0.17251890238467363
2.1,0.0,-0.17327370842686532
2.1,0.0,-0.17305203263477223
2.2,1.0,-0.17239440179362606
2.2,1.0,-0.17217346800994773
2.3000000000000003,0.0,-0.17766959917053796
2.3000000000000003,0.0,-0.17744804260120162
2.4000000000000004,1.0,-0.180721799168522
2.4000000000000004,1.0,-0.17569592721249852
2.5,0.0,-0.17968477206074812
2.5,0.0,-0.17945277378642358
2.6,1.0,-0.18390223654774548
2.6,1.0,-0.17748027632873023
2.7,0.0,-0.18378992021365412
2.7,0.0,-0.18123786620142077
2.8000000000000003,1.0,-0.18673283478164698
2.8000000000000003,0.9992066991474964,-0.17888357605133656
2.9000000000000004,0.0,-0.18630093870652717
2.9000000000000004,0.0,-0.18266648044152925
3.0,0.9925537412367142,-0.17651801814471688
3.0,0.996490116514917,-0.17627922447624472
3.1,0.0,-0.18836073514125692
3.1,0.0,-0.18811984317384933
3.2,0.9905762775548296,-0.17961189754529705
3.2,0.9947536048289782,-0.1752344167730935
3.3000000000000003,0.0,-0.19017734601038905
3.3000000000000003,0.0,-0.18154156363099938
3.4000000000000004,1.0,-0.19395204870401558
3.4000000000000004,0.9938134288446561,-0.18287773019968598
3.5,0.0,-0.18664134927527146
3.5,0.0,-0.18150217463739496
3.6,1.0,-0.19677937552931102
3.6,1.0,-0.19688508341140176
3.7,0.0,-0.17938487076722323
3.7,0.0,-0.17948895793005407
3.8000000000000003,0.7768010083711245,-0.1850054967078112
3.8000000000000003,0.7772730243692679,-0.17860962020132432
3.9000000000000004,0.0,-0.18005461758921668
3.9000000000000004,0.0,-0.18015666585297815
4.0,0.6671136875002464,-0.19690889697738648
4.0,0.6336569391863514,-0.18228786661181698
4.1000000000000005,0.0,-0.1730698878482254
4.1000000000000005,0.0,-0.17316726704919083
4.2,0.5477545077689816,-0.19166101178193728
4.2,0.5145019407904845,-0.17721953724661432
4.300000000000001,0.0,-0.18327715618353915
4.300000000000001,0.0,-0.18337100786733207
4.4,0.45144052997497314,-0.18172439348438124
