t,vx,vy
51.6,-0.1775101599600767,0.1700748068687749
51.6,-0.1775101599600767,0.1700748068687749
51.7,-0.17124129784760397,0.1685481797824422
51.7,-0.17124129784760397,0.1685481797824422
51.8,-0.16476268655847456,0.1669162155702255
51.8,-0.16476268655847456,0.1669162155702255
51.9,-0.1580822615813869,0.16517993415663482
51.9,-0.1580822615813869,0.16517993415663482
52.0,-0.15120820560157103,0.1633404206610353
52.0,-0.15120820560157103,0.1633404206610353
52.1,-0.14414893847802224,0.16139882471948275
52.1,-0.14414893847802224,0.16139882471948275
52.2,-0.1369131069302269,0.15935635976623905
52.2,-0.1369131069302269,0.15935635976623905
52.3,-0.12950957394701218,0.15721430227541486
52.3,-0.12950957394701218,0.15721430227541486
52.4,-0.1219474079304931,0.154973990963215
52.4,-0.1219474079304931,0.154973990963215
52.5,-0.1142358715884139,0.15263682595128447
52.5,-0.1142358715884139,0.15263682595128447
52.6,-0.10638441058848933,0.15020426789167737
52.6,-0.10638441058848933,0.15020426789167737
52.7,-0.0984026419886428,0.14767783705399798
52.7,-0.0984026419886428,0.14767783705399798
52.8,-0.09030034245731311,0.14505911237528094
52.8,-0.09030034245731311,0.14505911237528094
52.9,-0.08208743629825808,0.1423497304732073
52.9,-0.08208743629825808,0.1423497304732073
53.0,-0.0737739832945243,0.13955138462327182
53.0,-0.0737739832945243,0.13955138462327182
53.1,-0.06537016638646663,0.13666582370054028
53.1,-0.06537016638646663,0.13666582370054028
53.2,-0.05688627919892809,0.1336948510866605
53.2,-0.05688627919892809,0.1336948510866605
53.3,-0.04833271343282811,0.1306403235428068
53.3,-0.04833271343282811,0.1306403235428068
53.4,-0.03971994613663264,0.127504150049265
53.4,-0.03971994613663264,0.127504150049265
53.5,-0.031058526873279868,0.12428829061238184
53.5,-0.031058526873279868,0.12428829061238184
53.6,-0.022359064798281352,0.12099475503962424
53.6,-0.022359064798281352,0.12099475503962424
53.7,-0.013632215664838404,0.11762560168351617
53.7,-0.013632215664838404,0.11762560168351617
53.8,-0.004888668771872502,0.11418293615523452
53.8,-0.004888668771872502,0.11418293615523452
53.9,0.0038608661290248036,0.11066891000867086
53.9,0.0038608661290248036,0.11066891000867086
54.0,0.012605671951702806,0.10708571939578056
54.0,0.012605671951702806,0.10708571939578056
54.1,0.021335037402542032,0.10343560369405828
54.1,0.021335037402542032,0.10343560369405828
54.2,0.030038270100445078,0.09972084410700148
54.2,0.030038270100445078,0.09972084410700148
54.3,0.03870470967366996,0.09594376223843137
54.3,0.03870470967366996,0.09594376223843137
54.4,0.04732374081745153,0.09210671864156654
54.4,0.04732374081745153,0.09210671864156654
54.5,0.055884806296422465,0.08821211134375412
54.5,0.055884806296422465,0.08821211134375412
54.6,0.06437741987590638,0.08426237434777976
54.6,0.06437741987590638,0.08426237434777976
54.7,0.07279117916624406,0.08025997611069673
54.7,0.07279117916624406,0.08025997611069673
54.8,0.08111577836442001,0.07620741800111949
54.8,0.08111577836442001,0.07620741800111949
54.9,0.08934102087738242,0.0721072327359501
54.9,0.08934102087738242,0.0721072327359501
55.0,0.09745683181159465,0.0679619827975128
