t,expected_x,expected_y,actual_x,actual_y,expected_error,actual_error,error_difference
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04999999999999999,0.021683131611073186,0.0,0.001395426655036763,2.4992222428882726e-06,0.02028770510997478,2.4992222428882726e-06,0.020285205887731892
0.09999999999999998,0.04336626322214637,0.0,0.0031396215596817202,1.9993457592562024e-05,0.040226646631041516,1.9993457592562024e-05,0.04020665317344895
0.15000000000000002,0.06504939483321957,0.0,0.0052803079788631,6.0283251706457196e-05,0.05976911725526858,6.0283251706457196e-05,0.059708834003562125
0.19999999999999996,0.08673252644429275,0.0,0.0075196970761460605,0.00012276431870319635,0.0792129244983738,0.00012276431870319635,0.0790901601796706
0.25,0.10841565805536596,0.0,0.010228123813889066,0.00022199868744307718,0.09818778520691065,0.00022199868744307718,0.09796578651946758
0.30000000000000004,0.13009878966643915,0.0,0.013052919820689561,0.00035097971566373803,0.11704639607740581,0.00035097971566373803,0.11669541636174208
0.35,0.15178192127751233,0.0,0.016001448224681202,0.0005107775631103234,0.13578143376827917,0.0005107775631103234,0.13527065620516884
0.4,0.17346505288858552,0.0,0.018979618754959928,0.0006993464364273647,0.15448701707552293,0.0006993464364273647,0.15378767063909557
0.45000000000000007,0.1951481844996587,0.0,0.02275130816438543,0.0009708170850705725,0.172399609790661,0.0009708170850705725,0.17142879270559042
0.5,0.21683131611073192,0.0,0.02671916271724564,0.0012912637476898065,0.19011653854931862,0.0012912637476898065,0.1888252748016288
0.55,0.23851444772180513,0.0,0.03113232275523564,0.0016847101857567239,0.2073889678938102,0.0016847101857567239,0.20570425770805348
0.5999999999999999,0.26019757933287824,0.0,0.03565383319756714,0.0021274577109645872,0.2245538242933996,0.0021274577109645872,0.222426366582435
0.6499999999999999,0.28188071094395145,0.0,0.04060923282480708,0.0026535954077329138,0.24128607030324958,0.0026535954077329138,0.23863247489551667
0.7,0.30356384255502467,0.0,0.04566927456447997,0.0032345354984168744,0.2579148511019096,0.0032345354984168744,0.2546803156034927
0.75,0.3252469741660979,0.0,0.09087026217595569,0.008638340599414243,0.23453584811627742,0.008638340599414243,0.2258975075168632
0.8,0.34693010577717104,0.0,0.1461815680192548,0.01458461068762556,0.201277634825261,0.01458461068762556,0.18669302413763544
0.8499999999999999,0.3686132373882442,0.0,0.1620458248851091,0.016156606013826468,0.20719829107916501,0.016156606013826468,0.19104168506533856
0.8999999999999999,0.3902963689993174,0.0,0.16804374658268106,0.01667079588941568,0.22287696966411422,0.01667079588941568,0.20620617377469855
0.95,0.41197950061039057,0.0,0.2132432399630536,0.019726765615059958,0.19971291039318856,0.019726765615059958,0.1799861447781286
1.0,0.43366263222146384,0.0,0.268014234042267,0.022914792210428095,0.16722583389351312,0.022914792210428095,0.144311041683085
1.05,0.4553457638325371,0.0,0.28319764876644915,0.023698061786004754,0.1737716077304355,0.023698061786004754,0.15007354594443076
